Origen,Destino,Distancia (m),Distancia (unidades),Tiempo caminando (min)
R,V2,100,1.6, 01:11
S,O,250,4, 02:59
S,R,43.75,0.7, 00:31
S,V2,43.75,0.7, 00:31
S,JARDIN CHEDRAUI,50,0.8, 00:36
T,U,12.5,0.2, 00:09
T,FLOR DE CORDOBA,43.75,0.7, 00:31
T,R,31.25,0.5, 00:22
T,Q,75,1.2, 00:54
U,T,12.5,0.2, 00:09
U,V2,87.5,1.4, 01:03
U,V,112.5,1.8, 01:20
U,FLOR DE CORDOBA,62.5,1, 00:45
U,TITANIC,175,2.8, 02:05
V,U,112.5,1.8, 01:20
V,V2,18.75,0.3, 00:13
V,X,75,1.2, 00:54
V,COMEDORES X,112.5,1.8, 01:20
V2,V,18.75,0.3, 00:13
V2,U,87.5,1.4, 01:03
V2,W,84.375,1.35, 01:00
V2,S,,0.7, 00:00
V2,R,100,1.6, 01:11
W,X,100,1.6, 01:11
W,V2,84.375,1.35, 01:00
W,JARDIN CHEDRAUI,43.75,0.7, 00:31
W,Z2,87.5,1.4, 01:03
X,V,75,1.2, 00:54
X,COMEDORES X,112.5,1.8, 01:20
X,W,100,1.6, 01:11
X,V2,106.25,1.7, 01:16
Y,Z,75,1.2, 00:54
Y,Z2,25,0.4, 00:18
Y,JARDIN CHEDRAUI,56.25,0.9, 00:40
Y,M,200,3.2, 02:23
Y,N,200,3.2, 02:23
Z,Z1,6.25,0.1, 00:04
Z,Z2,56.25,0.9, 00:40
Z,Y,75,1.2, 00:54
Z1,Z,6.25,0.1, 00:04
Z1,Z2,62.5,1, 00:45
Z2,Z,56.25,0.9, 00:40
Z2,Z1,62.5,1, 00:45
Z2,Y,25,0.4, 00:18
Z2,JARDIN CHEDRAUI,56.25,0.9, 00:40
COMEDORES X,X,112.5,1.8, 01:20
COMEDORES X,V,112.5,1.8, 01:20
FLOR DE CORDOBA,Q,31.25,0.5, 00:22
FLOR DE CORDOBA,T,43.75,0.7, 00:31
FLOR DE CORDOBA,U,62.5,1, 00:45
FLOR DE CORDOBA,TITANIC,73.75,1.18, 00:53
TITANIC,FLOR DE CORDOBA,43.75,0.7, 00:31
TITANIC,U,175,2.8, 02:05
TITANIC,Q,68.75,1.1, 00:49
TITANIC,ENTRADA REVOLUCIÓN,150,2.4, 01:47
JOBS,CDU-CUCEI,118.75,1.9, 01:25
JOBS,P,84.375,1.35, 01:00
JOBS,Q,43.75,0.7, 00:31
JARDIN CHEDRAUI,Z2,56.25,0.9, 00:40
JARDIN CHEDRAUI,Y,56.25,0.9, 00:40
JARDIN CHEDRAUI,W,43.75,0.7, 00:31
JARDIN CHEDRAUI,S,50,0.8, 00:36
JARDIN CHEDRAUI,O,106.25,1.7, 01:16
JARDIN CHEDRAUI,M,181.25,2.9, 02:09
JARDIN CHEDRAUI,N,181.25,2.9, 02:09
COORDINACIÓN TECNOLOGÍAS PARA EL APRENDIZAJE,CDU-CUCEI,87.5,1.4, 01:03
COORDINACIÓN TECNOLOGÍAS PARA EL APRENDIZAJE,ESTACIONAMIENTO ESTUDIANTES,75,1.2, 00:54
COORDINACIÓN TECNOLOGÍAS PARA EL APRENDIZAJE,ALFA,31.25,0.5, 00:22
